Coffee,Description,scores,valid_date,polarity_textblob,subjectivity_textblob,neg_nltk,neu_nltk,pos_nltk,compound_nltk,value_flair,score_flair,flesch,kincaid_grade,coleman_liau_index,ari,dale_chall_readability,difficult_words,text_standard,flesch_corrected,kincaid_grade_corrected,ari_corrected,dale_chall_readability_corrected,len_review
Réveille Coffee,"Great coffee shop, very posh and upscale.At nearly $6 for a latte, it's EXPENSIVE; however, my latte was silky smooth and made to perfection with love by a passionate barista who really knew what they were doing.I would come back if I am in the area and in need of a kick, though it's unusual for me to justify $6 for a latte regularly.",4.0,2019-02-10,0.3041666666666667,0.48881118881118885,0.0,0.781,0.35450000000000004,0.9468,POSITIVE,0.9991471767425537,23.44,25.9,7.27,30.7,9.03,9,25th and 26th grade,23.44,20.0,14.0,9.03,336
Réveille Coffee,"Cute coffee house, great vibes. I wish I was there for all of breakfast because their food looked so good! My friend showed me it, after that we have been making plans to go back ever since. It wasn't the easiest to find but I think I was just confused! It is like under one of the houses and has a great little outside seating are! Truly a cute shop and is good for people who do and don't like coffee!",5.0,2019-02-02,0.54375,0.595,0.0,0.597,0.4885,0.9869,POSITIVE,0.9989570379257202,91.61,3.8,4.52,4.1,1.45,4,5th and 6th grade,91.61,3.8,4.1,1.45,403
Réveille Coffee,"Absolutely rude service. Took me 15 mins to get a americano even though there was no line. Once I got it was extremely diluted. Then I asked for a replacement on my sandwich - which they agreed. After making it, they said can't do the replacement. So I was stuck with a sandwich I didn't want. Such rude staff.",1.0,2019-01-30,-0.19166666666666665,0.675,0.44725000000000004,0.758,0.189,-0.8476,NEGATIVE,0.9999816417694092,88.43,3.0,4.78,3.2,5.41,5,4th and 5th grade,88.43,3.0,3.2,5.41,310
Réveille Coffee,"I've been coming here for work-related meetings and every time they forget to print out the receipt for me. Today, when I noticed 2 minutes after the purchase, they told me they were unable to print it. I've never had an issue with reprinting a receipt at other establishments, I feel like they just didn't want to take the time...Other than that the drinks are good",3.0,2019-01-23,-0.3125,0.4916666666666667,0.0,0.872,0.11,0.507,NEGATIVE,0.9998742341995239,74.53,8.3,8.12,11.0,7.12,10,7th and 8th grade,74.53,8.3,11.0,7.12,366
Réveille Coffee,Honestly one of my favorite hangout spots in the city. I love the lattes and I gotta have a cookie! I've tried some of the brunch menu and it's soo good. The staff is so friendly! They always greet you with a smile and just make the vibe of place feel welcoming and cozy. I promise rain or shine this place can be busy. But if you want a coffee shop that has more of a modern look but still has good coffee this is my vote for the Castro.,5.0,2019-01-22,0.4671875,0.5590909090909091,0.0,0.752,0.31100000000000005,0.9565,POSITIVE,0.9988721013069153,92.22,3.6,3.76,3.3,5.5,7,5th and 6th grade,92.22,3.6,3.3,5.5,438
Réveille Coffee,"I was here the first time today and my first impression is so great. My first impression might have been impacted by my 1 min visit to next door Starbucks though. The vibe is so great here, especially compared to next door Starbucks. They have a patio-like outdoor area as well which worked just great for me today. I enjoyed fresh air outside a bit, read some article and keeps moving to my next destination. Next time I'll spend more time here.",5.0,2019-01-07,0.3458333333333334,0.4,0.0,0.737,0.28819999999999996,0.9741,POSITIVE,0.9989601373672485,82.95,5.1,7.24,6.4,6.24,10,6th and 7th grade,82.95,5.1,6.4,6.24,446
Réveille Coffee,I come here for the fun interior and complimentary wifi. Love the visual concept if Reveille with tiles and palms. The saffron tea brought me back to life while on the verge of a cold and wow I am still reliving the moment of eating their grilled chicken sandwich (so good !!) a staple spot for me,5.0,2018-12-25,0.275,0.5388888888888889,0.0,0.731,0.394,0.9564,POSITIVE,0.9996625185012817,77.87,7.0,7.08,8.2,6.82,8,6th and 7th grade,77.87,7.0,8.2,6.82,297
Réveille Coffee,"Dry cappuccino for any sane coffee drinker means very little milk and mostly foam. These guys gave me a glass of coffee flavored milk. I asked the person behind the counter to make dry cappuccino. When I ask them to remake it for me, the were full of attitude and refused and basically said "" that's all we can do!"" There is a reason your shop is empty while there is a line in nearby Starbucks",1.0,2018-12-22,-0.23333333333333334,0.5857142857142857,0.0,0.941,0.0,-0.5093,NEGATIVE,0.9999901056289673,81.63,5.6,6.2,6.1,5.85,7,5th and 6th grade,81.63,5.6,6.1,5.85,394
Réveille Coffee,We just paid $7.25 for two cups of coffee that were so bitter and sour that we just put the down and left.  Nice patio but if the coffee is that bad why go back?,2.0,2018-12-22,-0.10138888888888889,0.36507936507936506,0.16,0.781,0.0,-0.7318,NEGATIVE,0.9997214674949646,78.25,11.0,3.67,13.2,2.19,1,13th and 14th grade,78.25,11.0,13.2,2.19,161
Réveille Coffee,"This is a cute spot in the Castro that is hopping during weekend brunch. It took about 20 minutes to get my food, which is fine. The avocado toast was alright. You can't really mess that up but I also wasn't wowed by it.",3.0,2018-12-15,0.24722222222222223,0.5583333333333333,0.25,0.78,0.19524999999999998,-0.083,NEGATIVE,0.9935316443443298,85.69,4.0,3.92,3.0,6.34,6,3rd and 4th grade,85.69,4.0,3.0,6.34,220
Coffee 1,"LOVE!!! If you enjoy coffee and coffee shops, definitely one to check off the list. Wish it was a little more centralized but oh my gosh so worth it. && they have OAT MILK!! Not many coffee shops have this and its amazing because it literally doesn't change the flavor of your latte like almond milk does, its an amazing substitute. I had the Lavender latte which was absolutely delicious and went back for more and had the Rose Latte, would actually get them both again, really really enjoyed it. The toast all look phenomenal - looking forward to going back & enjoying more coffee and trying more of their fantastic menu. Do yourself a favor and try this hidden gem out!",5.0,2019-06-04,0.36260416666666667,0.5265151515151515,0.0,0.671,0.31980000000000003,0.9949,POSITIVE,0.9991968274116516,59.84,9.8,8.59,10.3,7.01,18,9th and 10th grade,59.84,9.8,10.3,7.01,672
Coffee 1,"Cool spot in the Sunset. Its very bright and there are a good number of tables to do some work. It's the only place with creative latte's, although they are really sweet. Seems to be aimed toward the younger crowd.",4.0,2019-06-02,0.4794444444444445,0.7000000000000001,0.0,0.675,0.383,0.9311,POSITIVE,0.999506950378418,86.71,3.7,5.6,4.2,5.71,4,5th and 6th grade,86.71,3.7,4.2,5.71,214
Coffee 1,"I recommend it.  I like their lattes.  My favorite is sea salted caramel latte, The Barista are good and they are friendly. Good customer service.  They also have pastries and toasts.  Try this friendly spot .",5.0,2019-05-30,0.5333333333333333,0.64,0.0,0.563,0.5618000000000001,0.9595,POSITIVE,0.9948869347572327,70.63,7.8,10.09,10.7,6.76,5,7th and 8th grade,70.63,7.8,10.7,6.76,209
Coffee 1,Cute little spot. I came in on a rainy Saturday morning so I found parking easily but Home was still busy! I got a birthday cake latte to go and egg in the hole with brioche toast. The latte was quite sweet and the toast was pretty decent. There's an option to get the latte less sweet but since it was my first time I just got it regular. Staff were nice and helpful re questions/recommendations. It gets busy here so may hard to find a spot to sit as other reviews mentioned. I would come back if I was in the area and try something else out on the menu.,4.0,2019-05-25,0.21562499999999996,0.518349358974359,0.101,0.769,0.5156666666666666,0.9736,POSITIVE,0.9999703168869019,91.21,4.0,4.92,4.4,5.75,10,4th and 5th grade,91.21,4.0,4.4,5.75,556
Coffee 1,A cute little coffee shop with some very creative drinks! We got the birthday cake latte as well as the red velvet latte. Both were delicious and not too sweet. Of course they were adorable and super insta-worthy!,5.0,2019-05-13,0.478125,0.7270833333333334,0.222,0.575,0.321,0.9531,POSITIVE,0.9995291233062744,87.21,3.5,7.04,5.1,6.6,6,5th and 6th grade,87.21,3.5,5.1,6.6,213
Coffee 1,"I am looking for a decent cafe since I may visit SF soon. As I am reading the reviews, some people say this cafe is a great place to work, study or chat with a friend. What? Work or study? Go to the library! Sorry... I just can't help feeling bad for the owner(s), the business and the customers who really need a table or space to enjoy their coffee. People really need to stop their selfish behaviors.",5.0,2019-05-12,0.07916666666666666,0.6229166666666667,0.268,0.728,0.25,0.7789,NEGATIVE,0.999901533126831,83.66,4.8,4.86,4.8,5.5,6,5th and 6th grade,83.66,4.8,4.8,5.5,403
Coffee 1,Really cute vibe & very friendly staff! I had the 'day cheese' toast and iced hot chocolate - they were okay but definitely overpriced for what you got. ( $7 for toast and $6 for drunk) Very aesthetic/ instagrammy but the food is over hyped and you can find better for cheaper.,3.0,2019-05-11,0.371875,0.6625,0.0,0.761,0.23249999999999998,0.9106,NEGATIVE,0.9958732724189758,63.53,10.5,8.36,12.5,6.46,5,12th and 13th grade,63.53,10.5,12.5,6.46,277
Coffee 1,"Ive been to this cafe several times, the drinks and food have been fine (not great) but I continued eating there anyways because I liked studying in the cafe. However this last time I went they would not let me order anything because I had a cup of coffee in my hand. I even offered to wait outside and take my food togo and the man at the register said ""nope, sorry"" and directed for me to leave. I'm never driving out of my way for this place again.",1.0,2019-05-08,-0.04791666666666666,0.4523809523809524,0.0,0.865,0.1565,0.8248,NEGATIVE,0.9998382329940796,74.22,8.4,5.98,8.9,6.34,9,8th and 9th grade,74.22,8.4,8.9,6.34,451
Coffee 1,"Drink wise, I thought the lavender latte was tasty. It had a light lavender flavor that paired well and didn't overpower the flavor of the latte. I also really liked their pesto chicken toast, but I was disappointed to find out when I came back for a second time that they took it off the menu.",4.0,2019-05-07,0.3166666666666667,0.5857142857142857,0.137,0.824,0.215,-0.1289,POSITIVE,0.7219979166984558,77.87,7.0,6.85,8.0,5.97,5,6th and 7th grade,77.87,7.0,8.0,5.97,294
Coffee 1,"It's an alright spot if you're nearby. My dentist happens to be closeby. This spot is definitely over hyped now. You will come if you have a habit of IGing your coffee or cafe foods. That being said, the one in the Richmond is better.Things to note:-Nice place to work only if you don't mind the noise level. Between the music, espresso machine, patrons, and cafe worker's friends it can get loud even with headphones so bring your noise cancellers.-The specialty coffees are super high in calories and sugar. They don't serve nonfat or unsweetened almond milk. -Dont get the cookie monster. It tastes like a butter stick fell into your already-bland milk laden coffee.-Nothing special to say about the drip coffee. The roasts are a little watery so it's a bit bland but its the healthiest thing on thr menu probably.-If youre going to IG, get the birthday cake for the rainbow latte. If you care, request for a specific picture or youll get something normal like a heart.-My biggest disappointment: It's freezing in here. Bring a jacket or layer up if you plan on working in here. They won't close the door due to ADA reasons--which I understand and am all for the accommodations but I have never seen a shop or restaurant have a door that absolutely must be kept wide open 'due to ADA'. You can't just close the door and leave it a little ajar instead of freezing your patrons? With 50 degree weather i don't know any place in SF that leaves their doors wide open. Stop by if you're nearby or need a spot to work. But unless you're planning to take a selfie with your coffee, skip this spot as destination.",3.0,2019-05-07,0.06534523809523811,0.5545488721804512,0.30833333333333335,0.895,0.2488571428571429,0.7391,NEGATIVE,0.9999268054962158,78.48,6.8,7.83,9.1,6.72,40,6th and 7th grade,78.48,6.8,9.1,6.72,1608
Coffee 1,"Super sweet offerings and good coffee. I only wish they had more seating for me to eat my goodies. Though, it's prolly better they didn't since it's metered parking out front",4.0,2019-05-01,0.3555555555555555,0.6527777777777778,0.0,0.619,0.48150000000000004,0.9371,POSITIVE,0.9978772401809692,77.94,4.9,7.05,5.6,7.71,7,7th and 8th grade,77.94,4.9,5.6,7.71,174
Coffee 1,"Another cafe that has been on my bookmark in like forever, and I finally had the time to check it out.We came Tuesday morning around 10am hoping that it would not be packed but it was. As we were in line I tried to look for a table and was lucky enough to find one as a group of people were just leaving.We ordered birthday latte (duh! that's why I wanted to go here, lol), cookie monster latte, hot chocolate, cinnamon toast, egg in a basket and condensed milky way toast. Everything was really good. The lattes were not too sweet, they were perfect. The latte art were so cute! It's making me want to learn how to do them =)I can't wait to go back and try the rest on the menu!",5.0,2019-04-30,0.44166666666666665,0.7277777777777779,0.188,0.812,0.22679999999999997,0.9686,POSITIVE,0.9997369647026062,74.32,8.4,5.57,9.0,6.04,11,8th and 9th grade,74.32,8.4,9.0,6.04,679
Coffee 1,"So cute and such a fun place to study or chat with friends! I ordered the birthday cake latte, and my friend ordered the red velvet latte. Both were incredible! I personally like my lattes on the sweeter side, so the birthday cake latte was perfect :) I had a sip of my friend's latte as well, and I loved it as well!Would definitely recommend coming, and would recommend both lattes!",5.0,2019-04-28,0.21875,0.62,0.0,0.589,0.386,0.9882,POSITIVE,0.9996353387832642,70.63,7.8,7.42,8.5,6.53,9,6th and 7th grade,70.63,7.8,8.5,6.53,384
Coffee 1,"This place was so cute! Very comfortable and large enough space to work if needed. I had the birthday latte with almond milk, it wasn't too sweet at all which I really enjoyed. The condensed milk and butter toast was good too, obviously very sweet but delicious!",5.0,2019-04-28,0.38241071428571427,0.747063492063492,0.124,0.671,0.28,0.9128,POSITIVE,0.9984032511711121,76.42,5.5,7.35,6.1,6.91,8,6th and 7th grade,76.42,5.5,6.1,6.91,262
Coffee 1,"Best coffee shop in the sunset! The drinks are amazing and there are plenty of places to sit with groups or to get some work done on your laptop. Customer service is really why I'm here, though! The staff is incredible and I look forward to mingling with them every time I go in. Liz is especially amazing, she seems to keep the shop running smoothly and I mistook her as the manager because of her expertise. She always puts a smile on my face :)",5.0,2019-04-28,0.6916666666666668,0.6125,0.0,0.812,0.199,0.9577,POSITIVE,0.9987512826919556,82.44,5.3,6.14,5.7,5.83,8,5th and 6th grade,82.44,5.3,5.7,5.83,447
Coffee 1,"So disappointed. I trekked all the way out here to get a cool design on my latte only to receive a heart?! The cashier told me all the lattes came with the cool designs when I asked. I was furious when I picked it up from the counter and saw that heart. Also, they charge extra for milk substitutes-sorry I'm LACTOSE-INTOLERANT! Don't punish me by charging extra for it. They don't make their own syrups in house which also makes it not worth the high price tag. A place back home that I love makes their own syrups and their lattes are less than this. I had the coconut vanilla latte. It was good, but nothing special.I could've spent this $6.50 on dessert or better food. The positive is that Home is a conducive place to studying. They have a long line of tables and chairs set up and outlets. The first few tables have a no laptops sign, just a heads up.",3.0,2019-04-23,0.16797773654916512,0.4567727272727272,0.37875,0.834,0.233,0.8858,NEGATIVE,0.9999966621398926,83.05,5.1,5.97,5.5,6.05,18,5th and 6th grade,83.05,5.1,5.5,6.05,858
Coffee 1,"Decided to try this place out after driving by it on my way to Henry's House of Coffee, which is on the same street as Home. Of course, I went on Yelp to see the low down on this place, and I had to try it after reading the overall positive reviews. Came here to order a large cold brew and they said it's only one size, which is small/mediumish. When I received the cup, it was 3/4 full and a lot of ice. There is no place to stand when you are for your drink so you're kinda floating around awkwardly while inches away from the people that are sitting down. The area where people stand to wait for their drinks is also the area where you get your cream and sugar, so it's blocking the way to that. Ordered a toast with condensed milk, which took almost 15 minutes. Also, it was $5.75 for a piece of toast with condensed milk. Gave this place a shot, but I will stick with Henry's House of Coffee.",3.0,2019-04-21,-0.052116402116402116,0.502436704709432,0.14,0.948,0.13,-0.3198,NEGATIVE,0.9999909400939941,85.32,6.3,5.51,7.6,5.95,15,5th and 6th grade,85.32,6.3,7.6,5.95,898
Coffee 1,"Cute little café in Sunset area. It's a good place to study/ work however, you'll need to come early to find a good seat because it does get crowded. I had their Lavender latte. It wasn't too sweet. It was really tasty and creamy. I will definitely come back so that I can try their other lattes.",5.0,2019-04-21,0.3015625,0.4725,0.453,0.771,0.27399999999999997,0.841,POSITIVE,0.9829835891723633,87.21,3.5,4.26,3.1,5.22,4,3rd and 4th grade,87.21,3.5,3.1,5.22,296
Coffee 1,GreAt place for coffee and service is amazing. Shout out to Katie who is always so pleasant. I love the fact they carry oat milk crazy richness to coffee. A must try if around the area :),5.0,2019-04-20,0.7166666666666667,0.8527777777777779,0.135,0.526,0.4433333333333333,0.9699,POSITIVE,0.9946655035018921,87.72,3.3,4.49,2.8,4.96,2,3rd and 4th grade,87.72,3.3,2.8,4.96,187
Coffee 1,"Still love the place, and the coffee is so good, but why, oh why did they have to change the bread recipe they use for the toast! It is not as it used to be, toast is to dry",4.0,2019-04-15,0.0,0.6000000000000001,0.0,0.875,0.0,0.6443,NEGATIVE,0.9242585897445679,102.44,3.8,2.03,4.6,0.97,0,3rd and 4th grade,100.0,3.8,4.6,0.97,173
Coffee 2,"Love this spot! I've never been to the other location but came here one Saturday morning and tried their iced rose latte. Pretty good, and loved the petals as a garnish! Looking forward to going back and trying more of their creative drinks!!",5.0,2019-06-01,0.3666666666666667,0.6472222222222223,0.0,0.632,0.121,0.9736,POSITIVE,0.9990239143371582,85.89,4.0,7.58,5.8,6.38,6,5th and 6th grade,85.89,4.0,5.8,6.38,242
Coffee 2,"Very nice, helpful staff, and a variety of unique flavors, each complimenting the feel of the day and a conversation with chosen companion. Would recommend.",5.0,2019-05-31,0.5775,1.0,0.0,0.613,0.5295,0.8995,POSITIVE,0.9994264841079712,46.1,13.0,12.48,15.9,8.67,6,17th and 18th grade,46.1,13.0,14.0,8.67,156
Coffee 2,"This place is so cute and the A M B A I A N C E is great!! I'm taking a friday-off-work (y'know, just because!) and I'm pretending to be one of those super relaxed yoga instructors who look all beautiful with no makeup while posting pics of my adventures and just S M I L E at people bc everyone is smiling at me. So I might just poach out here a bit and scrolling through insta. The M U S I C  is super chill, so it might be awhile. I ordered the birthday cake latte and a bacon and onion croissant that look and taste D O P E ! ! ! (see pics!)",5.0,2019-05-31,0.5020833333333333,0.8166666666666667,0.0,0.697,0.35450000000000004,0.9828,POSITIVE,0.9995743632316589,73.71,8.6,3.78,7.7,6.57,13,6th and 7th grade,73.71,8.6,7.7,6.57,545
Coffee 2,"Best coffee place in town, hands down! The baristas and cashiers are so incredibly nice, and the coffee is amazing. I definitely recommend the iced sea salt caramel latte. The atmosphere is also amazing; simple yet timeless aesthetics, and they play awesome music. It's been a great place for me to be productive and enjoy my coffee at the same time.",5.0,2019-05-29,0.4782407407407408,0.601911976911977,0.0,0.587,0.4205,0.9877,POSITIVE,0.9993852376937866,76.01,5.7,8.45,7.0,7.09,11,6th and 7th grade,76.01,5.7,7.0,7.09,350
Coffee 2,"It's all rainbows and bunnies* in San Francisco this mornin'! How freakin' cute are these?! I've had this place in my bucketlist for years and finally got a chance to stop by this morning for some artsy lattes. They tasted just as good as they looked, making me want to come to try some more of their specialty lattes. We went with the 'Birthdag Cake' and 'Cookie Monster' but I was eyeing the lavender and red believer. I'll have to save those for my next visit.",5.0,2019-05-29,0.45625,0.5166666666666667,0.0,0.856,0.20033333333333334,0.8353,POSITIVE,0.9998847246170044,82.34,5.3,6.43,6.5,6.73,13,6th and 7th grade,82.34,5.3,6.5,6.73,463
Coffee 2,"I LOVE IT! We were visiting from Orange County and loved it so much we came twice in a row! The latte art is so cute, and the lattes are sweet and yummy! The staff treated us nicely. The coffee shop is small, but we never had a problem looking for a seat. I wish there was one in the OC! The food menu is small, but it is a coffee shop. The food was good but if you're expecting a meal (kinda like the coffee shop/cafes we were used to) then it's better to get your drink to go and go get food somewhere else :)",5.0,2019-05-28,0.006250000000000015,0.65,0.0,0.707,0.24833333333333332,0.9878,POSITIVE,0.9991225600242615,91.82,3.8,3.06,3.2,5.79,10,5th and 6th grade,91.82,3.8,3.2,5.79,511
Coffee 2,"If you're looking for that perfect Instagram photo and craving a good coffee, this is your place. After seeing so many photos of the Birthday Cake latte I decided to try it myself. When ordering this, the cashier mentioned that it is sweeter than usual which made me a bit hesitant, however, it tasted like a normal vanilla latte. First off, the rainbow latte art was so cool in itself that it was totally worth it. The sprinkles did make it a bit sweeter but not nearly as sweet compared to a Frappuccino. As far as the atmosphere, it is very cozy and modern inside. A lot of people hang out here working on laptops. It's tricky sometimes to find a seat because it always is pretty busy. Parking is a bit hard to find in the neighborhood nearby, but worth finding a spot.",4.0,2019-05-28,0.33,0.559375,0.1475,0.831,0.236,0.8182,POSITIVE,0.9999392032623291,72.16,7.2,7.02,7.2,7.28,26,6th and 7th grade,72.16,7.2,7.2,7.28,772
Coffee 2,"The cupcake latte is great! Also, enjoy the avocado toast.",4.0,2019-05-28,0.7,0.625,0.0,0.513,0.487,0.8221,POSITIVE,0.9968006610870361,57.94,6.4,4.96,4.1,8.62,3,5th and 6th grade,57.94,6.4,4.1,8.62,58
Coffee 2,"I don't usually like hanging out in coffee shops, but I've been to this place twice now and really did enjoy it. Once to study, once to grab coffee with my husband mid-Saturday. Baristas are nice, and the latte art is pretty impressive. The vanilla lattes are a little sweet, but everything I've had here has been good. My husband is a bit of a coffee snob and really liked his latte, so that says something.",5.0,2019-05-26,0.4052083333333334,0.6500000000000001,0.149,0.648,0.3085,0.978,POSITIVE,0.9974879026412964,72.97,6.9,6.49,6.8,5.84,7,6th and 7th grade,72.97,6.9,6.8,5.84,408
Coffee 2,"This is the most aesthetically pleasing coffee shop ever! Outside looks super plain but once you step inside it's so pretty. I ordered a birthday cake latte and my friend got the Cookie Monster latte, which didn't really taste super special it was more about the look. We also shared the mango mochi donut and it's was delicious, I have never tasted anything like it. I would definitely go again!",4.0,2019-05-24,0.5154761904761904,0.5465367965367965,0.11,0.589,0.2836666666666667,0.9888,POSITIVE,0.9998522996902466,65.73,7.6,8.4,7.6,6.81,11,7th and 8th grade,65.73,7.6,7.6,6.81,396
Coffee 2,"Delicious lattes here! Beautiful too! I had the Nutella Latte and the Cookie Monster (cookie butter) Latte and my friend had the Lavender Latte and the Rose Latte. All were substituted with oat milk. All of them were delicious!!! I drank mine so fast ...wish I would have savored them longer. Oat milk is a great option. Doesn't change the flavor of lattes like almond milk will. Unfortunately it's an upcharge of $1 but I suppose that's anywhere. I don't think milk substitutes should be extra, especially since a lot of people can't/don't drink cows milk. Nonetheless, the lattes were amazing and I will definitely be back to try more and maybe even their different toast options that looked amazing as they came out for other customers. Kind staff too!",5.0,2019-05-22,0.4058333333333334,0.7234375,0.159,0.76,0.3393333333333333,0.9856,POSITIVE,0.9999734163284302,76.42,5.5,8.45,7.2,6.65,20,6th and 7th grade,76.42,5.5,7.2,6.65,755
Coffee 2,Every time I go to Home I am completely amazed on how great the staff is .... always a friendly greeting no matter how busy they are.  The coffee selection is great and of course the barista designs are so cute.  Katie does any amazing job of creating such great designs and alway so gracious when we see her.  Great job ... everyone!,5.0,2019-05-20,0.5208333333333334,0.66,0.156,0.518,0.5184,0.9908,POSITIVE,0.9976351261138916,34.94,23.5,8.43,30.1,8.47,7,7th and 8th grade,34.94,20.0,14.0,8.47,334
Coffee 2,"I love their coffee lattes! This place is fairly popular with the rainbow lattes so that's exactly what I got and I was not disappointed! The avocado toast did look appealing but the toast itself was a little too hard. Other than that, it's a cute little place but can get pretty busy!",4.0,2019-05-18,0.2806547619047619,0.6013888888888889,0.0,0.716,0.171,0.9357,POSITIVE,0.9993271827697754,74.9,6.1,6.54,5.9,6.38,7,6th and 7th grade,74.9,6.1,5.9,6.38,285
Coffee 2,"I really enjoyed their drinks and toasts. The drinks include cute designs depending on the barista and the beverage you order. Although, they are a little pricey, they're okay for their price if you want a quick snack.",4.0,2019-05-16,0.40509259259259256,0.64,0.0,0.765,0.26333333333333336,0.8191,POSITIVE,0.998943030834198,83.96,4.7,8.57,7.3,6.76,6,6th and 7th grade,83.96,4.7,7.3,6.76,218
