Name,Description
Coffee Cultures,"The newest location of Coffee Cultures is now open in SoMa, offering Counter Culture coffee, soft serve, pastries, beer and wine. It's the largest location of the growing chain, giving the team more opportunity to expand the menu than the original FiDi location."
Beacon Coffee & Pantry,"Adding to North Beach's old school espresso scene, Beacon Coffee serves Sightglass to a new generation of dreamers. A spare interior boasts subway tiles, a living wall, and a small pantry stocked with specialty dry goods. Grab a seat by the large windows and watch the tourists stream by on their way to and from the wharf, and feel glad that you're in the know."
Sextant Coffee Roasters,"SoMa roasters and coffee shop Sextant is the 2014-founded project of founder Kinani Ahmed, a first-generation Ethiopian working directly with Ethiopian, Kenyan, and Colombian growers. Sextant's setting, with exposed brick, high ceilings, and a charming back patio, make it a place that's as nice to linger in as it is to stop by en route to the office."
Tartine Manufactory,"Always a destination for morning caffeination and excellent pastries, Tartine upped the ante when it launched a coffee collaboration to coincide with the opening of Tartine Manufactory, aptly named Coffee Manufactory. Stop into the bright and pleasant dining room for a cup of drip or an espresso drink made from beans roasted in Oakland, and sourced directly from farmers. There’s no wifi, but there is hot breakfast and the smell of bread baking to accompany that first cup. "
Equator Coffees & Teas,"Mid-Market continued to improve its options, with the addition of Equator's first SF location. They offer drip coffee, espresso drinks, single origin pour-overs, teas and cold brew, along with beer and wine on tap. There's food including to-go items like grain salads, and sweet and savory toasts."
Sightglass Coffee,"Sightglass now has five coffee shops to its name — the latest in a stunningly updated corner Victorian on Divisadero. But SoMa remains their flagship location, and it's big and beautiful with the roastery as a centerpiece for pour overs, espresso drinks, and cold brews. There's ample seating, though it's often packed, and an affogato bar serving Portland's Salt & Straw ice cream on the mezzanine."
Caffe Trieste,"The North Beach location of Caffe Trieste has been around for over 50 years, serving espresso to the masses. It's host to a crowd of neighborhood regulars, who can be found discussing, art, poetry, music, and more on the sidewalk outside. Live music is a bonus at this institution, where performers can be seen day and night."
Chapel Hill Coffee Co.,"This itsy bitsy addition to the FiDi coffee scene brings Four Barrel Coffee and baked goods from Neighbor Bakehouse. Espresso drinks are the main attraction here, in the spirit of keeping things simple. It's standing room only, but feel to hang out and enjoy the neighborhood vibe.Photo Credit: Geri Koeppel/Hoodline"
Mazarine Coffee,"Mazarine Coffee, the highly curated coffee shop from former techie Hamid Rafati, rotates through a variety of roasters on a regular basis, offering pour-overs, espresso drinks and nitro cold brew. The wifi-equipped café is friendly to laptop-wielding folks; it offers Starter Bakery pastries in the morning and light sandwiches and salads at lunch. They've also got beer and wine."
Blue Bottle Coffee,"Blue Bottle Sansome is a glorious, high-ceilinged affair, with marble and white tiling galore. Snag a pour over, espresso drink or New Orleans iced coffee, and don't forget a liege waffle. There's always a line at this high-traffic location, but it moves quickly. If you're in a rush, order a latte— pour overs take some time. (And if you need a downer after your upper, cocktails are just across the hall at The Treasury.)"
Philz Coffee,"The coffee chain that started in the Mission has exploded, with rapidly multiplying locations in the Bay Area. Stop by any of them for a cup of pour over coffee (no espresso machines here!), that the friendly baristas guarantee to ""make perfect."" Some bagels, pastries, breakfast sandwiches, and other light food items are available. There are many devotees of the local chain, many of whom are addicted to the creamy Mint Mojito."
La Capra Coffee,"A collaboration between Mitchell and Steve Rosenthal (Town Hall, Anchor & Hope, Salt House) and their partner Hanna Suleiman (Caffe Greco), La Capra is focused on espresso. The main attraction is the Rosenthal brothers' blend of Italian-inspired espresso, alongside drip coffee and a rotating selection of single-origin pour-overs. They also serve toast with a variety of fancy toppings, pastries from Neighbor Bakehouse and Starter Bakery, and sandwiches and salads at lunch."
Provender,"Cute and tiny at 300-square-feet, Provender is an espresso-fueled labor of love from Italian brothers Austin and Tony Ferrari (Hillside Supper Club). They've also got teas, pastries and lunch to-go, including a grain salad, a meat sandwich, and a veggie sandwich. Try the Maplewood, a cold brew coffee that is strained, poured over ice with milk, maple syrup and a dash of pure maple extract for a smokey, sweet flavor."
Farley's,"Stop in for a visit with an old friend, a game on one of the shop's collection of boardgames, and a coffee. It's also right next to Plow, the line-drawing breakfast spot down the street, and a great place to pass the time. They've got typical coffee shop snacks, but allow guests to grab a sandwich at Hazel's next door and eat it there. Outdoor seating is ideal on a nice SF day."
Réveille Coffee Co.,"This is the fourth location of Réveille from brothers Tommy and Chris Newbury, joining locations in North Beach, the Castro and a truck in Jackson Square. And luckily for Mission Bay, it has quite the expanded offerings: coffee and espresso, plus a café with breakfast, lunch, dinner and brunch, and even wine and beer. Neighboring Neighbor Bakehouse provides pastries, alongside Réveille's own Paradise espresso blend and single origin coffees that are roasted on site."
