Description,Rating
"Love this spot. Pretty small but with a large personality. Very kind staff, good coffee, and yummy avocado toast. Got the garlic variation which was a bit intense recently but the traditional is extremely tasty.",5.0 star rating
"One of my favorite coffee shops in the city! Their coffee is just perfect! Not weak, not too strong (burnt), just right! I also love their little muffins! Perfect place, great location, nice service! Totally recommended!!! :)",5.0 star rating
"I love Native Twins. Their coffee is amazing, trust me, I am Italian. Their avocado toast is the best, trust me, I am a Millennial. Jokes aside, I really like this spot, their home made granola is excellent, and so are their pastries, from the same lab as Cibo in Sausalito.The Mill Valley twins are fun to chat to and they have an extensive record collection, plus it's really nice to be able to order ""the usual"", as there isn't the barista turnover you see in other coffee places in the area.I totally recommend it!",5.0 star rating
"Great vibes here all around. Plenty of dogs and good food and snacks. Women owned business. Great ambiance great coffee free WiFi. I ordered pluot toast, turmeric green tea latte with oak milk. I discovered both pluot jam and oak milk on my visit there. They were kind enough to explain it to me. I can't wait to go again",5.0 star rating
"I love this place. I try to come as much as I can because this really is my favorite coffee shop. As a former barista/coffee snob, this place has everything you look for. Great beans, great people, and that intimate feel that makes a local coffee shop part of the neighborhood. You can't miss with their cold brew!",5.0 star rating
"Tried this spot a little while back and it was okay! The spot is easy to miss but once discovered, it's super cute and the staff is really friendly. Unfortunately, I was pretty disappointed by the coffee. I got the coconut & butter latte and my sister got the vanilla bean. The flavors just weren't there. When I tried my sister's, it tasted exactly like mine -- just a plain latte. Bummer because it's a $5 coffee. The morning bun was delicious though! Maybe it was an off day but I don't plan on returning to this location.",3.0 star rating
"These delightful twins have added matcha, chai, yum pastries, and yum coffee plus great juju to the block. I highly recommend making this a regular spot.  also a fab park-let to enjoy your treats outside!",5.0 star rating
"I really love this place! Delicious lattes with so many different milk replacement options. Soy, heavy cream, almond milk, etc. This beats sight glass for sure! Tasty toast and pastries as well. It's a local business owned by 2 lovely twin sisters that are super nice. Support!",5.0 star rating
"Native Twins is a cozy little cafe nestled in the hills of the Haight district. Jen (who usually helms the coffees/teas) is a magician of a barista. I've never had cappucinos or pour over coffee quote like hers, and she shows her expertise and care without a doubt. Ashley made my toast today and I was beyond impressed. As a consumer, I've always enjoyed simple yet delicious foods, and these toasts theyvenconcocted are just that. I ended up not only getting the avocado toast, but the garlic butter and then a third on the sweeter side - cinnamon! Everything was amazing. The decor is very sleak, the ambience terrific, all with the steady backdrop of classic rock&roll. (Check out their posters on the wall!) Even though I live across the Bay in Berkeley I will for sure be back!",5.0 star rating
"Another cafe that has been on my bookmark in like forever, and I finally had the time to check it out.We came Tuesday morning around 10am hoping that it would not be packed but it was. As we were in line I tried to look for a table and was lucky enough to find one as a group of people were just leaving.We ordered birthday latte (duh! that's why I wanted to go here, lol), cookie monster latte, hot chocolate, cinnamon toast, egg in a basket and condensed milky way toast. Everything was really good. The lattes were not too sweet, they were perfect. The latte art were so cute! It's making me want to learn how to do them =)I can't wait to go back and try the rest on the menu!",5.0 star rating
"It's an alright spot if you're nearby. My dentist happens to be closeby. This spot is definitely over hyped now. You will come if you have a habit of IGing your coffee or cafe foods. That being said, the one in the Richmond is better.Things to note:-Nice place to work only if you don't mind the noise level. Between the music, espresso machine, patrons, and cafe worker's friends it can get loud even with headphones so bring your noise cancellers.-The specialty coffees are super high in calories and sugar. They don't serve nonfat or unsweetened almond milk. -Dont get the cookie monster. It tastes like a butter stick fell into your already-bland milk laden coffee.-Nothing special to say about the drip coffee. The roasts are a little watery so it's a bit bland but its the healthiest thing on thr menu probably.-If youre going to IG, get the birthday cake for the rainbow latte. If you care, request for a specific picture or youll get something normal like a heart.-My biggest disappointment: It's freezing in here. Bring a jacket or layer up if you plan on working in here. They won't close the door due to ADA reasons--which I understand and am all for the accommodations but I have never seen a shop or restaurant have a door that absolutely must be kept wide open 'due to ADA'. You can't just close the door and leave it a little ajar instead of freezing your patrons? With 50 degree weather i don't know any place in SF that leaves their doors wide open. Stop by if you're nearby or need a spot to work. But unless you're planning to take a selfie with your coffee, skip this spot as destination.",3.0 star rating
"So cute and such a fun place to study or chat with friends! I ordered the birthday cake latte, and my friend ordered the red velvet latte. Both were incredible! I personally like my lattes on the sweeter side, so the birthday cake latte was perfect :) I had a sip of my friend's latte as well, and I loved it as well!Would definitely recommend coming, and would recommend both lattes!",5.0 star rating
"Drink wise, I thought the lavender latte was tasty. It had a light lavender flavor that paired well and didn't overpower the flavor of the latte. I also really liked their pesto chicken toast, but I was disappointed to find out when I came back for a second time that they took it off the menu.",4.0 star rating
"Cute little coffee shop in the area. Trying to find a breakfast spot with no line or wait is difficult, especially on a weekend. HOME has fast friendly service. Their lines move pretty quick and since the food is simple, there is barely any wait. They have tables and bar style seating inside. Since many people like to come and hang out or do work on their laptops here, there are specific tables where it is strictly for eating/enjoying coffee AND tables that you can use your laptop at.......I like that concept. The menu is limited to coffee drinks, a few toasts, and pastries. Simple. Their drinks are tasty and most important.... pretty and instrgramable!",5.0 star rating
One of the reasons my friends and I stopped by here was because of the cool latte art. The menu is filled with various different lattes to choose from. I went for the hazelnut latte which was very good. They also have options if you're lactose intolerant. Did you know oat milk is a thing? Well I didn't till I came here and apparently when swapped with regular milk in lattes it's barely noticeable that it's not regular milk! The workers were super nice and very helpful about any questions I had. They also have types of toast if you want a little snack as well. I did not get the chance to try it but I definitely will the next time I am here.What's not to love about this cafe? From it's cute and simple decor you really can't go wrong. It's the perfect place to bring your laptop and get some work done while enjoying a latte. It is a bit small so it can fill up quickly so my suggestion is come a little early if you're planning on hanging out for a bit.,5.0 star rating
"We tried out Home in the Outer Sunset, it was only 1 mile from the dumpling place but hubby didn't want to walk so we took Uber/Lyft - one of those car service.I ordered birthday cake latte $5.75 - it's very colorful artwork and has candy sprinkles on top.  I liked it.Hubby got Cappuccino and it had a nice cappuccino art on it.Lots of folks in there.  I can see it being very busy on weekends, glad we tried it on a weekday.",4.0 star rating
"So disappointed. I trekked all the way out here to get a cool design on my latte only to receive a heart?! The cashier told me all the lattes came with the cool designs when I asked. I was furious when I picked it up from the counter and saw that heart. Also, they charge extra for milk substitutes-sorry I'm LACTOSE-INTOLERANT! Don't punish me by charging extra for it. They don't make their own syrups in house which also makes it not worth the high price tag. A place back home that I love makes their own syrups and their lattes are less than this. I had the coconut vanilla latte. It was good, but nothing special.I could've spent this $6.50 on dessert or better food. The positive is that Home is a conducive place to studying. They have a long line of tables and chairs set up and outlets. The first few tables have a no laptops sign, just a heads up.",3.0 star rating
"Cute interior, can get very crowded and seating is difficult. This place is worth visiting if you're in the area and have never been.My lavender chai tasted watered down, I couldn't taste the lavender. I tried my friends' drinks and they were better - maybe it was just a bad order.I'll visit again with friends but if I'm just looking for a to-go order, I'd probably stop by Henry's a couple of blocks down instead.",4.0 star rating
"Overly rated coffee and tea shop. Suppose to be ""laptop free"" on the weekends, yet this is not enforced so there's no where to sit and enjoy your pretty looking 12oz  cup of coffee for $5.75. Must admit, the lady at the front counter was inviting, friendly and took the time to explain their menu and explained how the menu items with the stars are the favorites.",2.0 star rating
"This is def a cute but quality coffee shop. Every time I come here, the workers are extremely nice and awesome. Most times, it's pretty packed and may be hard to get a table, but there are ""no laptop"" tables which are nice. Menu is very large so there's options for everyone!! Their specialty lattes (birthday cake, red velvet, rose, lavender, etc) are priced higher than regular but think they're so much fun and actually really good. Drinks are well made and very enjoyable to drink!! Other than their classic menu, they have other specialty menu items like affogatos and teas!! Food wise, they have toasts that are really good as well and offer third culture pastries ( a plus!!!!) they're so good!!Overall, love this place and come in when I can. It just gets really busy at times of day and I like to sit and enjoy my coffee!!",5.0 star rating
"I've been here a couple of times and this place is so cute!! I always get the lavendar latte... seriously one of my favorite lattes ever! Love coming here on an early weekend morning, sipping coffee and people watch. I've had the avocodo toast here and it is delicious! This place is always  packed with people studying. Really don't know how people can study in such a loud space. But the tables are usually occupied with students. Your best bet is to sit by the window or take your coffee to go.",5.0 star rating
"I dragged my boyfriend here for the cute basic lattes. We came at noon on a holiday and it was packed. Like packed to where we were unable to get a table, and ended up consuming our drinks and food while standing. Not a big deal because we just used the little counter area by the door. For drinks, we ordered the Cookie Monster Latte and the Birthday Cake Latte. Although they were cute, they didn't taste any better than a typical latte from most other coffee shops. For noms, we ordered the Bravo and the Truffle Pesto Toasts. The bravo was your typical avocado toast with some bacon and radish. Compared to other avo toasts you can get in the city, this one failed to impress due to the lack of seasoning (not even pepper?) The truffle pesto toast served on a fluffy thick slice of bread with cherry tomatoes was much better, super yummy! Service was meh. The kitchen accidentally made us the kimchi toast instead of the Bravo Toast. Normally, we would just eat an incorrect order to avoid being annoying, but since neither of us likes kimchi, we asked to get our toast corrected. At first we were told we could keep the wrong toast since they were just going to throw it out, and then I was called over and told they actually want it back...interesting. They did give us the correct toast pretty speedily though. Overall, unless I'm trying to have something cute on my Instagram story I wouldn't come back.",3.0 star rating
Came here to do some work with a few friends.It's a bit noisy if you want to get work done without any headphones. The drinks are pretty good. The toasts are delicious. their latte art is on point. The place isn't too big and can get a bit crowded. Remember to ask for the WiFi password!,4.0 star rating
"I Love love loveHome!They have oatmilk! The servers are nice, the place is cute, the menu variety is great. I love that they encourage unplugging and talking. It's so crowded that every time I've gone I've sat with total strangers and always had a good time!Both locations are great!! I love birthday cake rainbow latte and condensed milk toast! Both are just soooooo good !!",5.0 star rating
"What a cute cafe with such beautiful and unique drinks! Seeing all the pictures on Yelp I had to go for the birthday cake latte (even though the cookie monster latte was a close second choice...next time!). The birthday cake latte doesn't actually taste like birthday cake and I believe has a vanilla and hazelnut base. It's not too sweet (granted I probably have a higher sweet tolerance) and is deliciously aromatic. Service can be a little slow since I'm sure the latte art takes awhile to create! You may also have to wait a bit for a table as the spot is pretty popular and can get crowded. Be prepared for lots of girls sitting nearby squealing over the drinks and getting pics for the 'gram =P. Kinda far away from where I live in North Beach so I don't think I'll be coming here on a regular basis, but definitely worth a visit if you're in the Sunset area!",4.0 star rating
"Came here to get some work done and overall, it was a pretty chill experience.Walking in around 10AM it was pretty busy already. Luckily I found a tight spot (in between 2 people) on the bar in front of the window. I ordered the Cookie Monster latte which was 'eh', nothing great. The cookies inside were a little stale, maybe from the heat of the coffee. And I ordered the toast with tomatoes, pesto, truffle, and mozzarella, adding a fried egg on top and it was pretty good! I got a few people asking me what I ordered because it looked so good. For the 2 items I paid around $16 which I found pretty overpriced but it's a SF cafe, what else could I expect?Knocking down 1 star because I wish they offered more outlets to charge your laptop, specifically at the bar. Also because I still found it to be a little overpriced as previously mentioned. But hey, this was all part of the SF cafe experience ultimately!",4.0 star rating
"I love home! Came here for the first time earlier this week on a Tuesday at 10am and there were plenty seats available to study/do work. The drink selections all sounded soooo good, but I opted for the Holy Cow which contains condensed milk. I'm not much of coffee/latte drinker because caffeine usually gives me a headache but the drink I had was perfect and didn't give me that after feeling I usually have with coffee.I also ordered a toast - the bacon, avocado and radish toast. I thought it was a bit expensive at $7, but it was healthy and filled me up, so it did the deed. Free WiFi here with outlets and plenty of seats. Friendly workers. 10/10 would recommend.",5.0 star rating
"Cute little place. Very clean, modern, light, hipster.It's very much a quintessential San Francisco Cafe, which means it's pretty good.My Tomato oil truffle pesto toast was good. Classic toast really. I'm not a huge fan of the super light and thick piece of toast, but it was still good. You know, $7 is ridiculous, but that's the going rate in the City, so it's not really a knock to them.My Lavender Latte was sweater than expected, but that's my bad for not asking I suppose. They coffee itself was good, but I was disappointed it didn't taste more like lavender. In the future I'd try their plain coffee instead of getting ""creative."" It did have some very nice latte art in though. Effort appreciated. It's a nice touch that they have some tables that are designated not for laptops!",4.0 star rating
What is better than home?-Coming to this small place in San Francisco Sunset area!When you're feeling decadent & you need your morning coffee?-Affogato (complete with cone)!We were there early. . .-Which is good because it started filling up when we were leaving!,4.0 star rating
"Visiting friends in SF, my husband was craving caffeine and sweets. My friend recommended Home for tasty latte creations on the sweeter side.I managed to steal just a few sips of husband's Nutella mocha. Yes, normally that would be Nutella latte, but he asked for Nutella mocha--he likes his coffee seriously sweet .Verdict:  Delicious! And surprisingly actually not too sweet.The interior at Home is lots of hard surfaces yet still a cozy atmosphere, I  spend a few hours here reading or whatever.",5.0 star rating
"This a great joint to try just for the cute coffee art.  They give double shots of espresso in the cup.  The latte are huge.  They customize your drinks and have good service to cater to your tastes.  They're known for their specialty drinks like the birthday latte.  Though many of them have too much syrup and they're too sweet that takes away the coffee flavor.  It would be nice to have natural flavors for specialty drinks.  I also like they have a variety of toasts, both sweet and savory.  The savory ones could be a good snack or a meal if you're not hungry.  I will have to come back and try one of their toasts. The seats aren't that comfortable, so it's not an ideal place to come and read/work for a long time.  They also have signs on some tables that forbid you to bring a computer.",4.0 star rating
"My favorite coffee shop in the city for the following reasons:1) AMAZING latte art 2) DELICIOUS and UNIQUE specialty lattes (condensed milk latte, birthday cake latte, Cookie Monster with little cookies in it, lavender latte, etc.)3) YUMMY toasts (LOVE the Bravocado)4) Free Wifi and environment conducive to getting work/studying done5) Beautiful simple decor, great for the 'gramAnd of course, easy street parking all around.I love this place, wish I lived closer. I still make a point of coming here once in a while whenever I'm in the neighborhood or need to get some work done!",4.0 star rating
"They have the best flavor latte! Ask for oat milk and you can thank me later, it makes the drink so much more creamier... yum I was in love at first sip! Parking can be a pain so plan accordingly if u gonna study/work in the cafe.",5.0 star rating
"Coffee is an art form at this charming neighborhood favorite haunt. Home pumps out espresso drinks and other concoctions that are beautifully crafted and Instagrammable. Beyond your vintage coffee, the trendy affogato, teas, a classic lineup of coffee bar fare with a unique twist from the ""Truffle In Paradise"" to ""Seoul Much Avo"" and much more are sported on their menu. We tasted through their favored Hazelnut Latte with the flavors of hazelnut being upfront and centered. Pleasantly smooth. Cookie Monster with the cookie garnishes was whimsical and enjoyable! The cookies gave body and enhances the flavors. Birthday Cake was my absolute favorite! A smooth and creamy vanilla latte with a hint of hazelnut and the rainbow sprinkles added a nice texture making this drink ridiculously tasty! The Kouign Amann had a soft and buttery interior with a flaky exterior was imply delicious! The perfect pairing to your drink! Wood bench seating, marble tabletops and signs encouraging patrons to put away their laptops and socialize as well as amazing staffs- -gives life to this coffee shop. If you're looking for a jolt of caffeine that is equally stylish, this place is it!",5.0 star rating
"Obvious Yelp fact: People come here to take Instagram photos. Pretty and cute latte art, ooh la la. Is that bear face on my latte, awww. Let me take 52 IG selfies with different angles and lighting. Less obvious facts:It's not just outside decoration, the beverages are tasty, as well.The inside matches the outside. All heart, baby. Okay, I won't get psychological on you here.I tried the matcha latte, and the staff will adjust the sweetness level accordingly. My friend enjoyed her chai latte. They're known for the birthday latte with colorful art, though I passed because I don't enjoy too much sweetness. Very friendly customer service, as well. It was busy on a Saturday morning. Decent amount of seating, though it was a packed house. I also hear their bakery treats are good. This is the 2nd Home Cafe location, as there's another one in the Sunset.",4.0 star rating
"Oh how I love thee !! DO NOT SKIP ON THEIR BIRTHDAY CAKE LATTE!!Attention latte lovers! Their birthday cake latte is full of happiness and joy all in one cup! Although the flavor does not taste like a birthday cake, BUT it is creamy, a bit of vanilla and it has a bit of sweetness to it. The best latte I've had, and I'm still dreaming about it ! Also, how could you not like a cup full of colors and sprinkles to brighten up your day ??",5.0 star rating
"This was my second time at Home, the first time being at the other location in Outer Sunset where I got the famous Birthday Cake Latte. My friend and I had a wonderful time sitting and talking for an hour while enjoying our warm drinks, sheltered from the cold SF weather. The adorable latte art brightened our day (my latte had Totoro!) and is the reason I would come again, just to admire the cuteness and creativity. Food:- Cookie Monster Latte--$5.50The cookie butter did not overpower the coffee and instead added a pleasant sweetness to it. The latte was milky and smooth, and the little bits of melted cookie butter remains at the bottom of the cup were sweet and addicting. Little cookies on top of the latte were still a little crunchy, and even better when dunked in the latte.Tips:- We arrived around 4 pm on a Friday and there were a couple of seats available. It's better to enjoy your drinks in the store so you can enjoy the latte art so come during an off hour!",4.0 star rating
Great little place! food and drinks are delicious. It was my first timing visiting this place with some friends and i loved it. The only concern i have is that it's super crowded in there since it's a small place. We ended up standing while eating and drinking. We had no place tosit since a lot of people were just sitting and chatting away. Other than that it's worth it.,4.0 star rating
"This coffee shop will make you feel right at home! Excellent customer service, great coffee, and good food. Initially came here so my friend could take pictures for instagram, but definitely enjoyed the experience and drinks. My first visit I got the lavender latte. If you're into floral tastes, it is worth a try! My friend had the birthday cake latte which was okay but really pretty. Definitely get it if you want to do it for the gram. I've also tried their London Fog, Cookie Monster Latte, Jasmine Lavender Tea Latte, and Cold Brew. All are solid choices! My friend let me have a bite of one of their avocado toasts and it was delicious! What I love the most is their service! With each visit, the employees were super friendly and made me feel at home (haha). Seriously, they were very welcoming, helpful when it came to any questions, and very good at making conversation that didn't feel awkward at all. It was impressive how a short interaction like that while me ordering and paying was so impressionable!I love the ambience. The way the natural light hits during the day makes it bright. Such a great place to catch up with friends over coffee. I've never studied there but the people who do, look productive and I feel like the environment is conducive for doing work. Parking is on the street so you may have to enjoy a little walk if you get a spot that's further. Worth giving it a try! Definitely coming back!",5.0 star rating
"I'm a fan girl. I'll be the first to admit it. I've had this cafe bookmarked ...for a while... and finally made it in after the most wonderful birthday hike everrrrrrrrr :] ok, maybe second best birthday hike ever - Multnomah Falls certainly trumps all, BUTHeading (to) Home was the absolute best way to close off the evening,*insert baby girl sideways smile*They certainly make you feel at home here while you're ordering up a coffee or tea. You're extended a warm welcome the moment you step through their doors by staff behind the counter along with a, 'how's your day going?' We don't get those too much nowadays...it's certainly the little things that matter and create an environment that's personable and detail oriented - down to their beverages. I myself haven't had any of their fancier/unicorn decorated drinks but have had their more basic (beeyotch) coffee drinks (check my pics) which were definitely palate approved as I have been back a few times already. Maybe next time I'll have that rainbow unicorn drink. I'm gonna do like the kids today say: YOLO. Is that right?!",4.0 star rating
"The space is super cute, clean, and welcoming. The toasts and drinks are super creative and yummy, and they do an amazing job with espresso drinks/ tea lattes etc. My favorite is the avocado toast with kimchi (add an egg on it!). There are no-laptop tables, and laptop/study tables, which I like, whether or not I am coming in to study or to hang out and grab coffee. I never see just a swamp of studiers camping out in there -- which can be annoying even for someone who does frequent cafes for that reason. My only complaint is that the toasts seem a bit too expensive (don't get me wrong, they are de-li-cious) and also the coffee here is bland/watery/weak. I grabbed both house-drip and pour over. I understand some people might get disappointed even at a good cup of pour over because they are mostly light/medium roasts, but this wasn't a flavorful light roast, it was more a bland coffee water. Stick to the espresso drinks or something creative, grab a toast, and it's still a very nice experience!",4.0 star rating
Here to kill sometime after a long walk in the park.Ambiance and service are great. And thanks for not rushing us out at closing :) Creative lattes and loved the almond milk substitute. Lavender liked the cookie monster.,5.0 star rating
Home is kind of like Disneyland.  It's colorful and exciting but also very crowded with long lines. This is definitely an insta-cafe where it's all about posting latte photos to social media.Still I don't know anywhere else with as colorful or creative lattes as this which brings me back.  My favorites are:Rose-love the edible rose petalsNutella-perfect for anyone that loves NutellaCookie Crisp-love the cookie crisp toppingsThe lavender is okay but it sounds better than it tastes.I like this location better than the one on Noriega because it's has more seating and is closer to Lands End.,4.0 star rating
"Doing errands in the Richmond and happened to walk by this place near Little Russia.   The inside decor is modern and very clean and the staff is uber friendly.    I just had a strong coffee at Turtle Tower so decided to roll with the organic tea selection they had.    The place is busy for a Thursday afternoon and seating is hard to come by.    It seems like most of the people are actively working and it is a little noisy, but I have headphones and like the environment.  They have good latte and drip coffee selections so I'll definitely try that next time and update my review.      The coffee setup in the back is nice and clean and they also have lots of instagrammable food options i'll have to try too.",5.0 star rating
I love coming here whenever I am in the city! The first time I came here was for the beautifully designed latte art that had such a vibrant color. Not only was the drinks super delicious but the baristas were all very nice and took their time to try and perfect the drink they were making for you.Loved the customer service and always try to make it back out to the cafe whenever I am in the area! The atmosphere is very home like and cozy. Pay this place a visit it's definitely worth it!,4.0 star rating
"I visited this place a while ago and I still remember how I killed my first drink so quick and got a next round. Usually that happens at a bar, but guess what! their coffee were so good. I start ed with Cookie Monster-Gato and got their Nutella Latte next. Loved both ! Definately wanna bring my other girl friends here. They all gonna love this spot.",4.0 star rating
"Came here with some friends and we were super indecisive with what to get as everything on the menu looked so good! The baristas were beyond friendly and so helpful when it came to questions and recommendations on what to get, definitely some of the best customer service I've ever had. I finally decided on the birthday cake latte with oat milk, that I didn't even know was a thing, but it was seriously one of the best lattes I've ever had. Also, how cute is that latte art?! The interior was bright and minimalistic, and is a great spot to socialize with friends or get some studying/ work done. They also have various types of toasts if you're hungry, but you can't go wrong with any of the crafted drinks.",5.0 star rating
"Cutest latte art on Clement Street!! Loved the Rainbow Vanilla Latte and the Cookie Monster Latte! Note. This place seems very popular, so be prepared to wait in line (it's worth it tho!!).",5.0 star rating
"This is by far one of my favorite coffee shops in the city. They have two locations, one in Richmond district and the other in the sunset district. All the workers here are always so friendly and super sweet! My favorite drink on their menu is the holy cow which is espresso shots with condensed milk! YUMMS! they also offer a variety of lattes with art on them. Would definitely come back to try their toast selections !",5.0 star rating
"Love the vibe in this cozy little space! It's chic and modern without feeling obnoxious. Very communal and vibrant. I've been here many times and have never been disappointed by any of the coffees, teas, and matcha drinks. Don't think you can go wrong with any selection. I also appreciate the cute little cups and mugs when you order your drink to stay. I recently came for a quick breakfast pastry, but was pleasantly surprised by a pretty extensive breakfast menu. It was rough to choose btw all the fresh, healthy looking options, but I ended up going with the prosciutto and egg avo toast-- highly recommend!! It came out so fast and was such a perfect blend of flavors on top of a very generous layering of avo slices. I'm still dreaming about this one! Planning to come back very soon.",5.0 star rating
"Folks, avoid this place unless you like being treated like you're transparent. I went for a quick cappuccino only since they're always out of food by early afternoon. The girl behind the counter walked over and stared at me...no smile, no greeting, just stared. I said hello...again nothing but a stare. I then said good afternoon and her response was, ""I said hello already"" and then again just stared. Not, ""what can I get you sir?"" or ""can I take your order?"".  Then she proceeded to walk away.Whoever is the manager, seriously pay more than the likely minimum wage and get real help. There are at least six coffee places in a two block radius and only so many people willing to put up with idiots who don't realize that our patronage is what pays their wages.",1.0 star rating
"Great coffee shop, very posh and upscale.At nearly $6 for a latte, it's EXPENSIVE; however, my latte was silky smooth and made to perfection with love by a passionate barista who really knew what they were doing.I would come back if I am in the area and in need of a kick, though it's unusual for me to justify $6 for a latte regularly.",4.0 star rating
"I've been coming here for work-related meetings and every time they forget to print out the receipt for me. Today, when I noticed 2 minutes after the purchase, they told me they were unable to print it. I've never had an issue with reprinting a receipt at other establishments, I feel like they just didn't want to take the time...Other than that the drinks are good",3.0 star rating
"I didn't tried brunch before in another location, but it was too crowded. This Reveille is located in Castro street, and love them ambience here. Wish they have more seats. Coffee is great!",5.0 star rating
"It was rainy and I was looking for a place to retreat. I've passed Reveille before, so I decided to make my first stop to do some reading and studying.AMBIANCE is beautiful on the outside. The white chairs paired with thick unstained wood adds a nice vibe to the shop. I was a little underwhelmed when I got to the inside. The natural light was soon replaced with yellow as I made my way to the tight seating spaces. ORDERED regular coffee.DRINK was just fine. I wish I ordered food (the food I had at the Duboce Park location was fantastic), but the menu looks great.OVERALL a terrific three stars. Perhaps on a sunny day I will grab a seat outside!",3.0 star rating
"This is a cute coffee shop, I love the ambiance, the coffee and service are great. The only downside to coming to this cafe is that they only have one outlet making it hard to charge devices while working, the one outlet they do have is VERY loose (meaning your charger will fall out of it). Other than that, nice and friendly environment. Remember, no wifi on the weekends. Enjoy!",4.0 star rating
"I wanted to like this place, however the ventilation is so poor in this Cafe and the smell of bleach permeated the coffee shop. Not only that, I saw cleaning supplies left carelessly outside the bathroom which I thought was very sloppy. Though the furniture is nice and the food is okay, this major detail of bleach was so bad. My coffee tasted of bleach because of the smell. By the end of my time drinking coffee here, my eyes were burning. I wish I were not exaggerating because I really wanted to like this place in the Castro, but I think the management needs to rethink the way they do hygiene at the coffee shop. I think that once they fix this problem, this coffee shop has lots of potential of being the ideal coffee shop in the Castro.",2.0 star rating
"A spot that seemed to be dominated by people working, Reveille didn't have the same warmth that other cafes in SF have, but they still serve up a nice latte. Literally every table inside was occupied by one person on a computer or a phone, all in a line facing the counter. It felt like a satire.That being said, the area in the front seems better for gathering with a friend and feels a bit organic. My latte was solid, though there seemed to be something missing from my friend's dirty chai, maybe a little less chai than expected, as it was missing some of the earthy and spiciness we usually associate with dirty chais. Can't win them all, but still a fine choice.",3.0 star rating
"Cool cafe, but no wifi on weekends (""owner turns it off""). Good outdoor and indoor seating options",4.0 star rating
